Model,Train MSE,Test MSE,Train MAE,Test MAE,Train R2,Test R2
Ridge,92.18489851766962,158.8985292233107,4.54229786023003,7.024133808350932,0.83699657327677,0.7176190146297806
LinearRegression,83.04662301095652,181.54479732122203,3.3296572185297504,6.955734154071292,0.8531550791262903,0.6773739882490819
xgboost,311.51544189453125,323.9694519042969,13.624587059020996,13.825016021728516,0.44917136430740356,0.424268901348114
lightgbm,325.1636315503827,328.5719019589183,13.602029802154533,13.636739765120607,0.425038297587074,0.4160898914946337
Lasso,495.8401156421086,494.06743128586794,18.392533761147178,18.328703887796706,0.12324427041578434,0.12198527722200347
