Model,Train MSE,Test MSE,Train MAE,Test MAE,Train R2,Test R2
Ridge,5.779882171884867,39.13134568233023,1.4560547381719582,3.6705613793120673,0.9897798813555871,0.9304590923109813
LinearRegression,1.757044678782473,44.344997586458085,0.3415720562192028,3.133674978106854,0.996893153779494,0.9211938324670974
lightgbm,259.21134915007076,261.5352840029963,12.535363846275581,12.577029991364943,0.541656617988093,0.5352216816176045
xgboost,277.52606201171875,282.72369384765625,13.139076232910156,13.227670669555664,0.5092722177505493,0.49756741523742676
Lasso,493.0497488013138,491.3773558377061,18.33595485914297,18.27478226731499,0.12817826030109347,0.12676585108562066
