Model,Train MSE,Test MSE,Train MAE,Test MAE,Train R2,Test R2
xgboost,188.92559814453125,262.25067138671875,10.36679458618164,12.316699981689453,0.6659375429153442,0.5339503288269043
lightgbm,303.56110123483256,323.57639586015586,13.632766794985379,14.098353801842656,0.4632363812640028,0.42496748112045724
Lasso,553.7596157687326,555.1369101541968,19.851299877093503,19.855879469682527,0.020829697676122083,0.013457780440399136
LinearRegression,553.4124211974338,575.1573045920829,19.818733094355178,20.16936656411003,0.021443614985479975,-0.022120766047754037
Ridge,553.4124212116449,575.1577870776246,19.81873924438561,20.16937915631198,0.021443614960351742,-0.02212162348012514
