Model,Train MSE,Test MSE,Train MAE,Test MAE,Train R2,Test R2
xgboost,188.92559814453125,262.25067138671875,10.36679458618164,12.316699981689453,0.6659375429153442,0.5339503288269043
lightgbm,303.2720698884971,324.58418394308154,13.658606504023762,14.151777331576826,0.4637474530408414,0.4231765256390445
Lasso,553.9659415636244,555.005981069052,19.86176421649485,19.867506550409434,0.020464867729682257,0.013690456502647885
Ridge,553.417176175754,562.6857469900983,19.819075093647932,19.970110142970476,0.021435207125053313,4.262805012666959e-05
LinearRegression,553.4124211974338,575.1573045920713,19.818733094355192,20.16936656410983,0.021443614985479975,-0.022120766047733387
