Model,Train MSE,Test MSE,Train MAE,Test MAE,Train R2,Test R2
Ridge,5.794775639438132,39.13573188985231,1.457943197672634,3.673105446553996,0.9897535463887324,0.9304512975150938
LinearRegression,1.7758890635409248,44.00901952410407,0.34840050699648245,3.125782919293359,0.9968598327112982,0.921790904175527
lightgbm,258.87958187866855,261.4744244469178,12.511163451243636,12.561941266722059,0.5422432563961486,0.5353298360574137
xgboost,280.1748352050781,285.16668701171875,13.212606430053711,13.296449661254883,0.5045885443687439,0.4932258725166321
Lasso,493.04976010271633,491.37736791257674,18.335955214122084,18.274782614478713,0.12817824031769742,0.12676582962718486
