Model,Train MSE,Test MSE,Train MAE,Test MAE,Train R2,Test R2
Ridge,205.93129156559652,235.78752040873917,8.98459142824048,9.83342803844352,0.6358676232821504,0.5809784226671572
LinearRegression,197.34165093525377,236.91389508300094,8.24882985145829,9.466471251827333,0.6510560205096917,0.5789767251563697
xgboost,311.7304992675781,324.16986083984375,13.521288871765137,13.725704193115234,0.4487910866737366,0.42391276359558105
lightgbm,326.9255442146852,331.3059480901059,13.638624966789644,13.697538410672712,0.42192284368424937,0.41123117666356446
Lasso,495.8402794037281,494.067608458728,18.392538773385198,18.328708768917416,0.12324398084877752,0.12198496236542766
