Model,Train MSE,Test MSE,Train MAE,Test MAE,Train R2,Test R2
Ridge,6.1313881860996196,47.67959627617498,1.4950314781319949,4.125496932764451,0.9884440186867215,0.9077545537916809
LinearRegression,1.839835955506311,76.56028519330002,0.2683516065598375,4.273959229124069,0.9965324149644399,0.8518792477061911
lightgbm,254.51582107047759,255.82821672472306,12.532987463440167,12.511883545599092,0.5203076394849548,0.5050505908699812
xgboost,275.6745910644531,276.6917419433594,13.181998252868652,13.146671295166016,0.48042917251586914,0.4646860361099243
Lasso,456.785821130125,443.29658708633514,17.862528137416913,17.542358051003916,0.13908429006054768,0.1423565912440966
