Model,Train MSE,Test MSE,Train MAE,Test MAE,Train R2,Test R2
LinearRegression,1.4450810365505575,43.170280542937945,0.29016386604131417,3.1989578578836273,0.9974447749616457,0.9232814399352208
Lasso,493.04976010271633,491.37736791257674,18.335955214122084,18.274782614478713,0.12817824031769742,0.12676582962718486
Ridge,8.181186382401313,42.18647412587774,1.8059009856735755,3.989238249466939,0.9855338408303695,0.925029777234634
xgboost,278.94744873046875,283.26708984375,13.190491676330566,13.24204158782959,0.5067588090896606,0.49660176038742065
lightgbm,258.7902241108042,261.26922042563405,12.512050825934269,12.551208742435277,0.54240126082638,0.53569450723477
