Model,Train MSE,Test MSE,Train MAE,Test MAE,Train R2,Test R2
Ridge,5.747307273349444,39.33157741496197,1.4571774314636068,3.6784630225466857,0.9898374810294146,0.9301032574631742
LinearRegression,1.6701030249645694,52.3022621254632,0.2469781080179751,3.2680834717647254,0.9970468859821127,0.9070528570133981
lightgbm,261.5668370262613,263.11794166946595,12.611696268697484,12.63614665738818,0.537491590943555,0.5324091166835807
xgboost,285.2862243652344,290.0736083984375,13.400406837463379,13.472152709960938,0.4955504536628723,0.4845057725906372
Lasso,497.36194431216956,495.48525822110867,18.502640069345304,18.441729840301605,0.12055333847254368,0.1194656354794732
